outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper
chosen,mm,Mental.health,10% fewer cases,0.519808446,0.010424586,49.86370214,0,0.499376633,0.540240259
chosen,mm,Mental.health,5% fewer cases,0.516945517,0.010350461,49.94420216,0,0.496658986,0.537232048
chosen,mm,Mental.health,5% more cases,0.504520017,0.010373804,48.63404181,0,0.484187735,0.524852299
chosen,mm,Mental.health,10% more cases,0.496130696,0.010367225,47.85568848,0,0.475811309,0.516450084
chosen,mm,Mental.health,25% more cases,0.467672414,0.010359213,45.14555513,0,0.44736873,0.487976098
chosen,mm,Mental.health,50% more cases,0.409716251,0.01019712,40.17960397,0,0.389730263,0.429702239
chosen,mm,Eligibility,People in and out of work are entitled,0.520084567,0.006926324,75.08810649,0,0.506509221,0.533659913
chosen,mm,Eligibility,Everyone is entitled but people of working age who are not disabled are required to look for work,0.528396009,0.006914753,76.41574422,0,0.514843342,0.541948676
chosen,mm,Eligibility,Only people in work are entitled,0.476172322,0.006895608,69.0544405,0,0.462657179,0.489687464
chosen,mm,Eligibility,Only people out of work are entitled,0.475709659,0.006893329,69.01014782,0,0.462198982,0.489220336
chosen,mm,Means.testing,People with any or no amount of income are entitled to the full benefit,0.50536193,0.006918899,73.04080326,0,0.491801138,0.518922723
chosen,mm,Means.testing,Only those with incomes less than £20k are entitled to the full benefit,0.509645062,0.006943318,73.40079181,0,0.496036408,0.523253716
chosen,mm,Means.testing,Only those with incomes less than £50k are entitled to the full benefit,0.505327245,0.006896489,73.27311497,0,0.491810375,0.518844115
chosen,mm,Means.testing,Only those with incomes less than £125k are entitled to the full benefit,0.479801829,0.006896501,69.57177239,0,0.466284935,0.493318724
chosen,mm,Citizenship,"Citizens, permanent residents and anyone residing in the UK for more than six months are entitled",0.491822095,0.005988332,82.1300585,0,0.480085179,0.503559011
chosen,mm,Citizenship,Only citizens and permanent residents are entitled,0.513055954,0.005987091,85.69368919,0,0.50132147,0.524790438
chosen,mm,Citizenship,Only citizens are entitled,0.495121951,0.005988849,82.6739809,0,0.483384024,0.506859879
chosen,mm,Poverty,Unchanged,0.472049689,0.011357878,41.56143262,0,0.449788657,0.494310722
chosen,mm,Poverty,Decreased by 100%,0.633709016,0.010905072,58.11140161,0,0.612335468,0.655082565
chosen,mm,Poverty,Decreased by 75%,0.610178384,0.01117147,54.61934824,0,0.588282706,0.632074062
chosen,mm,Poverty,Decreased by 50%,0.609201481,0.011220741,54.29244495,0,0.587209232,0.63119373
chosen,mm,Poverty,Decreased by 25%,0.560063224,0.011393993,49.15425447,0,0.537731409,0.58239504
chosen,mm,Poverty,Decreased by 10%,0.528150134,0.011559834,45.68838556,0,0.505493277,0.550806992
chosen,mm,Poverty,Decreased by 5%,0.495726496,0.011556108,42.8973563,0,0.47307694,0.518376052
chosen,mm,Poverty,Increased by 5%,0.440687064,0.011502614,38.31190626,0,0.418142355,0.463231773
chosen,mm,Poverty,Increased by 10%,0.428571429,0.011468672,37.36888029,1.25E-305,0.406093245,0.451049613
chosen,mm,Poverty,Increased by 25%,0.369690614,0.011054297,33.44315842,3.24E-245,0.348024589,0.391356638
chosen,mm,Poverty,Increased by 50%,0.352191641,0.010783846,32.65918665,5.93E-234,0.331055691,0.373327591
chosen,mm,Inequality,Unchanged.,0.497783688,0.010527047,47.28616418,0,0.477151054,0.518416322
chosen,mm,Inequality,Decreased by 50%.,0.541971588,0.010337613,52.42715257,0,0.52171024,0.562232937
chosen,mm,Inequality,Decreased by 25%.,0.55565032,0.010261295,54.15011544,0,0.535538551,0.575762089
chosen,mm,Inequality,Decreased by 10%.,0.512216031,0.01034888,49.49482647,0,0.491932598,0.532499463
chosen,mm,Inequality,Decreased by 5%.,0.519123335,0.010357724,50.11944237,0,0.498822569,0.5394241
chosen,mm,Inequality,Increased by 5%.,0.496964441,0.010412206,47.72902696,0,0.476556893,0.517371989
chosen,mm,Inequality,Increased by 10%.,0.485004284,0.010345097,46.88252786,0,0.464728268,0.505280301
chosen,mm,Inequality,Increased by 25%.,0.481402309,0.01033153,46.5954511,0,0.461152882,0.501651736
chosen,mm,Inequality,Increased by 50%.,0.410311035,0.010153644,40.41022404,0,0.390410258,0.430211812
,,,,,,,,,
,,,,,,,,,
,,,Default scheme,0.520794616,,,,,
