BY,outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper,breakdown
18-54,chosen,mm,Poverty,Decreased by 10%.,0.512129380053912,0.0146103136400975,35.0525931659941,3.56011556907468E-269,0.483493691516487,0.540765068591338,Age
18-54,chosen,mm,Poverty,Decreased by 5%.,0.513584574934266,0.0145738148997134,35.2402290318896,4.84278956564244E-272,0.485020422613474,0.542148727255057,Age
18-54,chosen,mm,Poverty,Increased by 5%.,0.438222222222209,0.014080839082777,31.1218826979012,1.21837260608879E-212,0.410624284747862,0.465820159696555,Age
18-54,chosen,mm,Poverty,Increased by 10%.,0.42590949423248,0.0148537998241811,28.6734370513816,8.18195018119255E-181,0.396796581543518,0.455022406921443,Age
18-54,chosen,mm,Poverty,Increased by 25%.,0.36147757255937,0.0143967628580486,25.1082535791915,4.04127834411868E-139,0.333260435863631,0.389694709255109,Age
18-54,chosen,mm,Poverty,Increased by 50%.,0.354515050167225,0.0143617457829779,24.6846766071719,1.5623082557552E-134,0.326366545677468,0.382663554656982,Age
18-54,chosen,mm,Inequality,Unchanged.,0.487929773226045,0.0132637819576519,36.7866250202159,3.02113943814974E-296,0.461933238290255,0.513926308161835,Age
18-54,chosen,mm,Inequality,Decreased by 50%.,0.565248226950365,0.0129105601385618,43.7818515140997,0,0.539943994058546,0.590552459842185,Age
18-54,chosen,mm,Inequality,Decreased by 25%.,0.553987297106561,0.0127408133978044,43.4813131477169,0,0.529015761713119,0.578958832500003,Age
18-54,chosen,mm,Inequality,Decreased by 10%.,0.518675123326282,0.0131044167099883,39.5801762722444,0,0.4929909385363,0.544359308116264,Age
18-54,chosen,mm,Inequality,Decreased by 5%.,0.506732813607387,0.0121883133217662,41.5753025238077,0,0.482844158464435,0.530621468750338,Age
18-54,chosen,mm,Inequality,Increased by 5%.,0.504273504273508,0.0127115949976213,39.6703564240263,0,0.479359235892111,0.529187772654905,Age
18-54,chosen,mm,Inequality,Increased by 10%.,0.483392226148395,0.0125345897455184,38.5646627422512,0,0.458824881686194,0.507959570610596,Age
18-54,chosen,mm,Inequality,Increased by 25%.,0.478913509649717,0.0138619458411971,34.5487938804672,1.48606240460648E-261,0.451744595045326,0.506082424254108,Age
18-54,chosen,mm,Inequality,Increased by 50%.,0.400564174894223,0.0129005254194286,31.0502217445314,1.13302107567745E-211,0.3752796096905,0.425848740097947,Age
55+,chosen,mm,Level,Child - £0; Adult - £63; Pensioner - £190,0.453744493392068,0.0151060597434715,30.0372500239955,3.20374031850944E-198,0.424137160346553,0.483351826437583,Age
55+,chosen,mm,Level,Child - £41; Adult - £63; Pensioner - £190,0.487938596491231,0.0167572104480453,29.1181278652585,2.11660597291053E-186,0.455095067531704,0.520782125450758,Age
55+,chosen,mm,Level,Child - £0; Adult - £145; Pensioner - £190,0.48383620689655,0.0165669868679187,29.2048403704284,1.68331829703486E-187,0.451365509303081,0.516306904490018,Age
55+,chosen,mm,Level,Child - £41; Adult - £145; Pensioner - £190,0.468313641245968,0.015403729901503,30.4026131489278,5.07299743437332E-203,0.43812288541144,0.498504397080497,Age
55+,chosen,mm,Level,Child - £63; Adult - £145; Pensioner - £190,0.513215859030861,0.0160641860622474,31.9478283581996,5.79108404223016E-224,0.481730632907906,0.544701085153817,Age
55+,chosen,mm,Level,Child - £63; Adult - £190; Pensioner - £190,0.503232758620692,0.0157743016846599,31.9020625242683,2.49986543525554E-223,0.472315695437489,0.534149821803895,Age
55+,chosen,mm,Level,Child - £95; Adult - £190; Pensioner - £230,0.529025191675797,0.0164167534411014,32.2247144402691,7.95503531788634E-228,0.496848946188165,0.56120143716343,Age
55+,chosen,mm,Level,Child - £41; Adult - £230; Pensioner - £230,0.526952695269536,0.0162871799160706,32.3538327681633,1.22539348839441E-229,0.495030409224313,0.558874981314758,Age
55+,chosen,mm,Level,Child - £95; Adult - £230; Pensioner - £230,0.53450164293537,0.0168960369221192,31.6347345474627,1.22983079789814E-219,0.501386019086558,0.567617266784183,Age
55+,chosen,mm,Tax,Basic rate - 20%; Higher rate - 40%; Additional rate - 45%,0.572628043660797,0.0142158327088532,40.2810060717851,0,0.544765523541199,0.600490563780396,Age
55+,chosen,mm,Tax,Basic rate - 23%; Higher rate - 43%; Additional rate - 48%,0.606627017841981,0.014140023194672,42.9014160366131,0,0.578913081639863,0.634340954044099,Age
55+,chosen,mm,Tax,Basic rate - 30%; Higher rate - 50%; Additional rate - 60%,0.534863945578218,0.0141931987144793,37.6845245626395,0,0.507045787272419,0.562682103884018,Age
55+,chosen,mm,Tax,Basic rate - 40%; Higher rate - 60%; Additional rate - 70%,0.483599663582845,0.0138424453287276,34.9359995360948,2.11289962115812E-267,0.456468969280575,0.510730357885116,Age
55+,chosen,mm,Tax,Basic rate - 48%; Higher rate - 68%; Additional rate - 78%,0.481196581196574,0.0143028928142136,33.6433047109451,3.9064934512679E-248,0.453163426405979,0.50922973598717,Age
55+,chosen,mm,Tax,Basic rate - 50%; Higher rate - 70%; Additional rate - 80%,0.447773972602743,0.0137765832166438,32.5025418539029,9.81659258311768E-232,0.420772365668102,0.474775579537384,Age
55+,chosen,mm,Tax,Basic rate - 65%; Higher rate - 85%; Additional rate - 95%,0.372349448685323,0.0156369179692457,23.8122019580618,2.49655103891709E-125,0.341701652636395,0.402997244734252,Age
55+,chosen,mm,Funding,Removal of income tax-free personal allowance,0.454468085106384,0.0148652016392086,30.5726148986552,2.830887133582E-205,0.425332825270609,0.483603344942159,Age
55+,chosen,mm,Funding,Increased government borrowing,0.457698815566832,0.0155764383053607,29.3840483038611,8.78127975194135E-190,0.427169557480914,0.488228073652749,Age
55+,chosen,mm,Funding,Corporation tax increase,0.526808510638299,0.0137184823423101,38.4013695898076,0,0.499920779324822,0.553696241951775,Age
55+,chosen,mm,Funding,Tax for businesses based on carbon emissions,0.536256323777406,0.0138647995979161,38.677538754906,0,0.509081815912625,0.563430831642187,Age
55+,chosen,mm,Funding,Tax for individuals based on carbon emissions,0.496569468267581,0.0148923483470994,33.3439331859503,8.91966086833149E-244,0.467381001862042,0.52575793467312,Age
55+,chosen,mm,Funding,Tax on wealth,0.543515358361769,0.0141850877271462,38.3159673606838,0,0.515713097299021,0.571317619424516,Age
55+,chosen,mm,Funding,VAT increase,0.48492462311558,0.0139198031962428,34.8370315498762,6.69229284588696E-266,0.457642310179058,0.512206936052101,Age
55+,chosen,mm,Life.expectancy,0 more or less years on average,0.525523012552302,0.0132242428999032,39.7393647810377,0,0.499603972745682,0.551442052358921,Age
55+,chosen,mm,Life.expectancy,5 fewer years on average,0.455631399317411,0.0142103772353031,32.0632866934369,1.43332334055867E-225,0.42777957172949,0.483483226905333,Age
55+,chosen,mm,Life.expectancy,3 fewer years on average,0.486763450042694,0.014740211009184,33.022827810227,3.82039413924238E-239,0.457873167340173,0.515653732745215,Age
55+,chosen,mm,Life.expectancy,1 less year on average,0.502572898799317,0.015004137786678,33.4956200712543,5.58204689450848E-246,0.473165329118352,0.531980468480282,Age
55+,chosen,mm,Life.expectancy,1 more year on average,0.465430016863433,0.0147776839065874,31.4954643640712,1.0021893462307E-217,0.436466288631604,0.494393745095261,Age
55+,chosen,mm,Life.expectancy,3 more years on average,0.544378698224848,0.013759683903177,39.5633142487493,0,0.517410213335966,0.57134718311373,Age
55+,chosen,mm,Life.expectancy,5 more years on average,0.519116397621075,0.014038035800366,36.97927580492,2.46611573280555E-299,0.491602353038674,0.546630442203476,Age
55+,chosen,mm,Mental.health,Same number of cases,0.506077348066301,0.0155787813609096,32.4850407963329,1.73447066721426E-231,0.475543497675894,0.536611198456708,Age
55+,chosen,mm,Mental.health,50% fewer cases,0.550708833151578,0.0149862781511356,36.7475384880567,1.27278600947609E-295,0.521336267713053,0.580081398590103,Age
55+,chosen,mm,Mental.health,25% fewer cases,0.525974025974031,0.0162293871304623,32.408742347811,2.06702776144455E-230,0.494165011707167,0.557783040240895,Age
55+,chosen,mm,Mental.health,10% fewer cases,0.497792494481226,0.0164944653521185,30.1793652509804,4.41907502401531E-200,0.46546393644683,0.530121052515622,Age
55+,chosen,mm,Mental.health,5% fewer cases,0.525241675617611,0.0165370822438902,31.7614478703864,2.20667470028552E-221,0.492829590010209,0.557653761225013,Age
55+,chosen,mm,Mental.health,5% more cases,0.50378378378378,0.015942831678989,31.5993917471835,3.76379501031164E-219,0.472536407881377,0.535031159686183,Age
55+,chosen,mm,Mental.health,10% more cases,0.476293103448277,0.0151299131113353,31.480227278466,1.62004331719942E-217,0.44663901866084,0.505947188235715,Age
55+,chosen,mm,Mental.health,25% more cases,0.473047304730475,0.0160198356387855,29.5288488219682,1.22751738194472E-191,0.441649003840205,0.504445605620746,Age
55+,chosen,mm,Mental.health,50% more cases,0.43977900552487,0.0150472080800539,29.2266181995468,8.90268820893316E-188,0.410287019620084,0.469270991429656,Age
55+,chosen,mm,Eligibility,People in and out of work are entitled,0.537603105288704,0.0101493842945636,52.9690363164853,0,0.517710677606103,0.557495532971305,Age
55+,chosen,mm,Eligibility,Everyone is entitled but people of working age who are not disabled are required to look for work,0.531904529956159,0.0104850090169207,50.7300021485697,0,0.511354289905417,0.552454770006901,Age
55+,chosen,mm,Eligibility,Only people in work are entitled,0.462729912875163,0.0104107063307734,44.4475041532354,0,0.442325303413224,0.483134522337102,Age
55+,chosen,mm,Eligibility,Only people out of work are entitled,0.468115942028982,0.0110146146651297,42.4995296032419,0,0.446527693981741,0.489704190076223,Age
55+,chosen,mm,Means.testing,People with any or no amount of income are entitled to the full benefit,0.499028182701644,0.0104691664170352,47.6664676845366,0,0.478508993576099,0.51954737182719,Age
55+,chosen,mm,Means.testing,Only those with incomes less than £20k are entitled to the full benefit,0.524999999999989,0.0110258132259111,47.6155354025243,0,0.503389803176938,0.54661019682304,Age
55+,chosen,mm,Means.testing,Only those with incomes less than £50k are entitled to the full benefit,0.50240615976901,0.0102943356556219,48.8041362333703,0,0.482229632639224,0.522582686898795,Age
55+,chosen,mm,Means.testing,Only those with incomes less than £125k are entitled to the full benefit,0.473963355834155,0.00977935237261444,48.4657202005949,0,0.454796177391704,0.493130534276606,Age
55+,chosen,mm,Citizenship,"Citizens, permanent residents and anyone residing in the UK for more than six months are entitled",0.472363636363641,0.00920889593011422,51.2942745741055,0,0.45431453200324,0.490412740724043,Age
55+,chosen,mm,Citizenship,Only citizens and permanent residents are entitled,0.519272727272735,0.00858066416723224,60.5166123685074,0,0.502454934541526,0.536090520003943,Age
55+,chosen,mm,Citizenship,Only citizens are entitled,0.508363636363676,0.00910803959989245,55.8148250002865,0,0.490512206778122,0.52621506594923,Age
55+,chosen,mm,Poverty,Unchanged.,0.479632063074904,0.0161375757306271,29.7214446011629,4.05757061035374E-194,0.448002995845087,0.511261130304721,Age
55+,chosen,mm,Poverty,Decreased by 100%.,0.616993464052284,0.0190538829391445,32.3815080644127,4.99885471023101E-230,0.579648539725919,0.65433838837865,Age
55+,chosen,mm,Poverty,Decreased by 75%.,0.594919786096258,0.0181674260547183,32.7465092911029,3.40431373735852E-235,0.559312285337216,0.630527286855301,Age
55+,chosen,mm,Poverty,Decreased by 50%.,0.615487316421892,0.019335878021696,31.83136114798,2.38425452664821E-222,0.577589691889908,0.653384940953876,Age
55+,chosen,mm,Poverty,Decreased by 25%.,0.568707482993203,0.0172221396746746,33.0218830956001,3.94156894494095E-239,0.534952709494122,0.602462256492283,Age
55+,chosen,mm,Poverty,Decreased by 10%.,0.551861702127658,0.018040303912784,30.5904880979633,1.63790301057094E-205,0.516503356188444,0.587220048066871,Age
55+,chosen,mm,Poverty,Decreased by 5%.,0.467852257181941,0.0191976185936407,24.3703277518452,3.53027378547716E-131,0.430225616149469,0.505478898214413,Age
55+,chosen,mm,Poverty,Increased by 5%.,0.444444444444447,0.0172660954107601,25.7408773594215,4.07823685187378E-146,0.410603519285724,0.478285369603169,Age
55+,chosen,mm,Poverty,Increased by 10%.,0.432653061224491,0.0182785086286979,23.6700416873842,7.33998131281817E-124,0.396827842621139,0.468478279827844,Age
55+,chosen,mm,Poverty,Increased by 25%.,0.381818181818176,0.0168862322590506,22.6112122562765,3.36178456429361E-113,0.348721774755858,0.414914588880493,Age
55+,chosen,mm,Poverty,Increased by 50%.,0.348563968668407,0.0180611730445063,19.2990769652379,5.46771686081408E-83,0.313164719982629,0.383963217354185,Age
55+,chosen,mm,Inequality,Unchanged.,0.512935883014628,0.0168653293110762,30.4136298529173,3.62760649861416E-203,0.479880444977511,0.545991321051745,Age
55+,chosen,mm,Inequality,Decreased by 50%.,0.506024096385545,0.0160219236170161,31.5832298593735,6.27462393987881E-219,0.474621703133141,0.537426489637948,Age
55+,chosen,mm,Inequality,Decreased by 25%.,0.558189655172413,0.0151538870763011,36.8347508703134,5.13134616478093E-297,0.528488582277076,0.587890728067751,Age
55+,chosen,mm,Inequality,Decreased by 10%.,0.502188183807444,0.014885657156952,33.7363798260602,1.69347298552244E-249,0.473012831893607,0.531363535721281,Age
55+,chosen,mm,Inequality,Decreased by 5%.,0.538209606986875,0.0156599718078509,34.368491437325,7.45705734679888E-259,0.507516626244575,0.568902587729176,Age
55+,chosen,mm,Inequality,Increased by 5%.,0.485587583148556,0.0158975957940214,30.5447181724906,6.6458183392778E-205,0.454428867951498,0.516746298345613,Age
55+,chosen,mm,Inequality,Increased by 10%.,0.487486398258969,0.0156704115606114,31.1087169838155,1.83600761048056E-212,0.45677295597725,0.518199840540687,Age
55+,chosen,mm,Inequality,Increased by 25%.,0.485106382978708,0.0157250036783462,30.8493653102742,5.71251201451093E-209,0.45428594211239,0.515926823845027,Age
55+,chosen,mm,Inequality,Increased by 50%.,0.425188374596336,0.0149455213190122,28.4492166931276,4.98302727393653E-178,0.395895691080896,0.454481058111775,Age
