outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper
chosen,mm,Funding,Removal of income tax-free personal allowance,0.46321800470272984,0.009139294114237678,50.68422122241413,0,0.4453053173947051,0.4811306920107546
chosen,mm,Funding,Increased government borrowing,0.4681274900398506,0.009092195095393068,51.486740564668104,0,0.45030711511246846,0.48594786496723275
chosen,mm,Funding,Corporation tax increase,0.5251172136637561,0.009138750582914027,57.46050391675255,0,0.5072055916575502,0.543028835669962
chosen,mm,Funding,Tax for businesses based on carbon emissions,0.5112605042016687,0.009164879100451674,55.78475161516011,0,0.49329767124211954,0.5292233371612178
chosen,mm,Funding,Tax for individuals based on carbon emissions,0.49040080835296396,0.009174771148480077,53.45101261018433,0,0.4724185873355458,0.508383029370382
chosen,mm,Funding,Tax on wealth,0.5529845741113302,0.009104882152565975,60.734951298132486,0,0.5351393330088193,0.570829815213841
chosen,mm,Funding,VAT increase,0.48919906945831393,0.009113137903629545,53.680639383661436,0,0.47133764738105316,0.5070604915355746
chosen,mm,Life.expectancy,0 more or less years on average,0.5102109139604807,0.009146863492953593,55.77987627710071,0,0.4922833909427874,0.528138436978174
chosen,mm,Life.expectancy,5 fewer years on average,0.4622073578595188,0.009118022222623532,50.691624408711704,0,0.4443363626929408,0.48007835302609675
chosen,mm,Life.expectancy,3 fewer years on average,0.4815436241610874,0.00915326806480433,52.6089283905815,0,0.4636035484132303,0.49948369990894453
chosen,mm,Life.expectancy,1 less year on average,0.5071041948579124,0.00919569022603577,55.14585445931482,0,0.48908097320189525,0.5251274165139295
chosen,mm,Life.expectancy,1 more year on average,0.4886742171885248,0.009123544613616813,53.56188169005966,0,0.47079239833449144,0.5065560360425582
chosen,mm,Life.expectancy,3 more years on average,0.519288829251917,0.00915115674970294,56.7457036804417,0,0.5013528916056186,0.5372247668982154
chosen,mm,Life.expectancy,5 more years on average,0.530856005308547,0.00909034171707507,58.397805256473525,0,0.513039262935918,0.5486727476811761
chosen,mm,Mental.health,Same number of cases,0.5142980935875329,0.010403628702121902,49.43449139843271,0,0.49390735602284674,0.534688831152219
chosen,mm,Mental.health,50% fewer cases,0.5573207385144021,0.01029254634424515,54.14799407981444,0,0.5371477183704723,0.577493758658332
chosen,mm,Mental.health,25% fewer cases,0.513617021276593,0.010310633313961136,49.81430389742682,0,0.49340855132343037,0.5338254912297558
chosen,mm,Mental.health,10% fewer cases,0.519808445798863,0.010424585890135705,49.86370214386485,0,0.4993766329004526,0.5402402586972734
chosen,mm,Mental.health,5% fewer cases,0.5169455169455095,0.010350461005527362,49.94420216350265,0,0.4966589861512896,0.5372320477397293
chosen,mm,Mental.health,5% more cases,0.504520017219119,0.010373803994482692,48.63404181218847,0,0.48418773500725515,0.5248522994309828
chosen,mm,Mental.health,10% more cases,0.4961306964746393,0.010367225134304216,47.85568848437442,0,0.4758113085917846,0.516450084357494
chosen,mm,Mental.health,25% more cases,0.46767241379310365,0.010359212827940781,45.14555512670823,0,0.4473687297421544,0.4879760978440529
chosen,mm,Mental.health,50% more cases,0.40971625107481024,0.01019712019548855,40.17960396858699,0,0.38973026274562667,0.4297022394039938
chosen,mm,Eligibility,People in and out of work are entitled,0.5200845665961809,0.006926324166184088,75.0881064931026,0,0.5065092206852106,0.5336599125071511
chosen,mm,Eligibility,Everyone is entitled but people of working age who are not disabled are required to look for work,0.5283960092095106,0.006914753165053057,76.41574422063353,0,0.5148433420440223,0.5419486763749989
chosen,mm,Eligibility,Only people in work are entitled,0.4761723217689826,0.0068956075568418936,69.05444050343606,0,0.46265717930605027,0.48968746423191495
chosen,mm,Eligibility,Only people out of work are entitled,0.47570965898263506,0.0068933290827236805,69.0101478217363,0,0.46219898224691414,0.489220335718356
chosen,mm,Means.testing,People with any or no amount of income are entitled to the full benefit,0.505361930294937,0.00691889885846595,73.0408032596946,0,0.4918011377196685,0.5189227228702056
chosen,mm,Means.testing,Only those with incomes less than £20k are entitled to the full benefit,0.5096450617283805,0.006943318310202502,73.40079180577229,0,0.4960364079071861,0.5232537155495749
chosen,mm,Means.testing,Only those with incomes less than £50k are entitled to the full benefit,0.5053272450532851,0.0068964891868527525,73.27311496647089,0,0.4918103746272838,0.5188441154792864
chosen,mm,Means.testing,Only those with incomes less than £125k are entitled to the full benefit,0.4798018292682899,0.0068965014515758455,69.57177238883283,0,0.46628493480387306,0.49331872373270674
chosen,mm,Citizenship,"Citizens, permanent residents and anyone residing in the UK for more than six months are entitled",0.4918220946915581,0.005988332453400168,82.13005849605128,0,0.4800851787554414,0.5035590106276748
chosen,mm,Citizenship,Only citizens and permanent residents are entitled,0.5130559540889774,0.005987091452281771,85.69368919418193,0,0.5013214704703576,0.5247904377075973
chosen,mm,Citizenship,Only citizens are entitled,0.49512195121937846,0.005988848557191649,82.67398089818387,0,0.48338402373841816,0.5068598787003388
chosen,mm,Poverty,Unchanged,0.4720496894409983,0.011357878198825918,41.56143261773971,0,0.4497886572305068,0.49431072165148976
chosen,mm,Poverty,Decreased by 100%,0.6337090163934481,0.010905071962200152,58.11140161110814,0,0.6123354680987183,0.6550825646881779
chosen,mm,Poverty,Decreased by 75%,0.610178384050377,0.011171469518797729,54.61934824453107,0,0.5882827061391465,0.6320740619616076
chosen,mm,Poverty,Decreased by 50%,0.6092014806980318,0.011220741325149186,54.292444950372484,0,0.5872092318208991,0.6311937295751645
chosen,mm,Poverty,Decreased by 25%,0.5600632244467759,0.011393992859851392,49.15425446862011,0,0.5377314088013607,0.5823950400921911
chosen,mm,Poverty,Decreased by 10%,0.5281501340482256,0.011559833589434732,45.68838556040596,0,0.5054932765456572,0.550806991550794
chosen,mm,Poverty,Decreased by 5%,0.49572649572650107,0.011556108313316266,42.8973562972985,0,0.47307693963095726,0.5183760518220448
chosen,mm,Poverty,Increased by 5%,0.4406870638754473,0.011502613857953007,38.31190626039771,0,0.4181423549857881,0.4632317727651065
chosen,mm,Poverty,Increased by 10%,0.42857142857142055,0.011468671935042718,37.36888028525024,1.251699228659135e-305,0.40609324462823154,0.45104961251460957
chosen,mm,Poverty,Increased by 25%,0.36969061352910065,0.011054297231683137,33.443158418928384,3.23618307214333e-245,0.3480245890806009,0.3913566379776004
chosen,mm,Poverty,Increased by 50%,0.3521916411825066,0.010783846056031601,32.65918665312544,5.934735440147228e-234,0.3310556912978604,0.37332759106715285
chosen,mm,Inequality,Unchanged.,0.4977836879432727,0.010527047321549002,47.286164176758575,0,0.47715105432948784,0.5184163215570576
chosen,mm,Inequality,Decreased by 50%.,0.5419715884632004,0.010337612514224022,52.427152567140176,0,0.5217102402491908,0.56223293667721
chosen,mm,Inequality,Decreased by 25%.,0.5556503198294354,0.010261295203737204,54.15011543835766,0,0.5355385507953768,0.5757620888634939
chosen,mm,Inequality,Decreased by 10%.,0.5122160308615485,0.010348880225149725,49.49482646603323,0,0.4919325983399363,0.5324994633831608
chosen,mm,Inequality,Decreased by 5%.,0.5191233347658026,0.010357723673023844,50.11944237495276,0,0.498822569404858,0.5394241001267472
chosen,mm,Inequality,Increased by 5%.,0.496964440589777,0.010412205575198468,47.72902695789353,0,0.47655689266276086,0.5173719885167931
chosen,mm,Inequality,Increased by 10%.,0.4850042844901702,0.010345096705715495,46.88252785710677,0,0.4647282675303839,0.5052803014499565
chosen,mm,Inequality,Increased by 25%.,0.4814023086789725,0.010331530165770202,46.59545110499947,0,0.46115288164887375,0.5016517357090712
chosen,mm,Inequality,Increased by 50%.,0.4103110353642949,0.010153644161781552,40.410224036480514,0,0.3904102584953677,0.43021181223322214
